BAS_SCENARIO,BAS_GRP_CD,BAS_RSN_CD,BAS_CONTR_PYR,BAS_CHG_IND,BAS_NEW_GRP_CD,BAS_NEW_RSN_CD
0,OA,143,Y,MOD,PR,2
0,OA,144,Y,MOD,PR,2
0,OA,145,Y,MOD,PR,2
0,OA,146,Y,MOD,PR,2
0,OA,147,Y,MOD,PR,2
0,OA,148,Y,MOD,PR,2
0,OA,149,Y,MOD,PR,2
0,OA,15,Y,MOD,PR,2
0,OA,150,Y,MOD,PR,2
0,OA,151,Y,MOD,PR,2
0,OA,152,Y,MOD,PR,2
0,OA,153,Y,MOD,PR,2
0,OA,154,Y,MOD,PR,2
0,OA,155,Y,MOD,PR,2
0,OA,156,Y,MOD,PR,2
0,OA,157,Y,MOD,PR,2
0,OA,158,Y,MOD,PR,2
0,OA,159,Y,MOD,PR,2
0,OA,16,Y,MOD,PR,2
0,OA,160,Y,MOD,PR,2
0,OA,161,Y,MOD,PR,2
0,OA,162,Y,MOD,PR,2
0,OA,163,Y,MOD,PR,2
0,OA,164,Y,MOD,PR,2
0,OA,165,Y,MOD,PR,2
0,OA,166,Y,MOD,PR,2
0,OA,167,Y,MOD,PR,2
0,OA,168,Y,MOD,PR,2
0,OA,169,Y,MOD,PR,2
0,OA,17,Y,MOD,PR,2
0,OA,170,Y,MOD,PR,2
0,OA,171,Y,MOD,PR,2
0,OA,172,Y,MOD,PR,2
0,OA,173,Y,MOD,PR,2
0,OA,174,Y,MOD,PR,2
0,OA,175,Y,MOD,PR,2
0,OA,176,Y,MOD,PR,2
0,OA,177,Y,MOD,PR,2
0,OA,178,Y,MOD,PR,2
0,OA,179,Y,MOD,PR,2
0,OA,18,Y,MOD,PR,2
0,OA,180,Y,MOD,PR,2
0,OA,181,Y,MOD,PR,2
0,OA,182,Y,MOD,PR,2
0,OA,183,Y,MOD,PR,2
0,OA,184,Y,MOD,PR,2
0,OA,185,Y,MOD,PR,2
0,OA,186,Y,MOD,PR,2
0,OA,187,Y,MOD,PR,2
0,OA,188,Y,MOD,PR,2
0,OA,189,Y,MOD,PR,2
0,OA,19,Y,MOD,PR,2
0,OA,190,Y,MOD,PR,2
0,OA,191,Y,MOD,PR,2
0,OA,192,Y,MOD,PR,2
0,OA,193,Y,MOD,PR,2
0,OA,194,Y,MOD,PR,2
0,OA,195,Y,MOD,PR,2
0,OA,196,Y,MOD,PR,2
0,OA,197,Y,MOD,PR,2
0,OA,198,Y,MOD,PR,2
0,OA,199,Y,MOD,PR,2
0,OA,2,Y,MOD,PR,2
0,OA,20,Y,MOD,PR,2
0,OA,200,Y,MOD,PR,2
0,OA,201,Y,MOD,PR,2
0,OA,202,Y,MOD,PR,2
0,OA,203,Y,MOD,PR,2
0,OA,204,Y,MOD,PR,2
0,OA,205,Y,MOD,PR,2
0,OA,206,Y,MOD,PR,2
0,OA,207,Y,MOD,PR,2
0,OA,208,Y,MOD,PR,2
